NaN,12,4,5,1,1,3.232,0.403,7.44,1,4.81,4.787,2.653,0,0,0,0,0,-91.802,0,0
NaN,13,4,4,1,1,3.287,0.4,7.708,1,4.59,4.925,2.783,0,0,0,0,0,-91.776,0,0
NaN,12,4,4,2,2,3.213,0.4,7.567,2,4.5,4.756,2.811,0,0,0,0,0,-91.75,0,0
NaN,13.1,4,4,1,1,3.263,0.587,7.301,1,4.71,4.632,2.669,0,0,0,0,0.1,-91.724,0,0
NaN,13,4,4,1,2,3.272,0.563,7.093,1,4.7,4.46,2.633,0,0,0,0,0,-91.698,0,0
NaN,12,4,4,1,1,3.288,0.635,6.778,1,4.59,4.207,2.571,0,0,0,0,0,-91.672,0,0
NaN,13,4,4,1,2,3.161,0.696,6.71,1,4.8,4.212,2.498,0,0,0,0,0,-91.646,0,0
NaN,13,4,3,1,1,2.429,0.607,6.674,2,4.91,4.209,2.465,0,0,0,0,0,-91.62,0,0
NaN,12,4,4,1,2,2.221,0.563,6.459,1,4.59,4.06,2.399,0,0,0,0,0,-91.594,0,0
NaN,12,4,4,1,1,2.184,0.541,6.489,1,4.555,4.004,2.485,0,0,0,0,0,-91.568,0,0
NaN,13,4,4,2,2,2.272,0.503,6.472,1,4.555,3.921,2.551,0,0,0,0,0,-91.542,0,0
NaN,13,4,3,1,1,2.231,0.64,6.416,1,4.39,3.947,2.469,0,0,0,0,0,-91.516,0,0
NaN,13,4,4,1,1,2.297,0.557,6.386,0,4,4,2.386,0,0,0,0,0,-91.49,0,0
NaN,12,4,4,1,2,2.263,0.503,6.263,1,4,3.907,2.356,0,0,0,0,0,-91.464,0,0
NaN,13,4,4,1,1,2.224,0.593,6.266,1,4.11,3.917,2.349,0,0,0,0,0,-91.438,0,0
NaN,12,4,3,1,2,1.992,0.544,6.438,1,4,4.027,2.411,0,0,0,0,0,-91.412,0,0
NaN,13,4,4,1,1,1.918,0.559,6.367,1,3.89,3.855,2.512,0,0,0,0,0,-91.386,0,0
NaN,13,4,4,1,2,1.96,0.504,6.184,0,3.91,3.657,2.527,0,0,0,0,0,-91.36,0,0
NaN,12,4,3,2,1,1.931,0.5,6.059,1,3.89,3.564,2.495,0,0,0,0,0,-91.334,0,0
NaN,13,4,4,1,2,1.968,0.444,5.968,1,3.7,3.519,2.449,0,0,0,0,0,-91.308,0,0
NaN,13,4,4,1,1,1.871,0.496,5.991,1,3.8,3.615,2.376,0,0,0,0,0,-91.282,0,0
NaN,12,3,4,1,2,1.892,0.369,5.985,0,3.81,3.672,2.313,0,0,0,0,0,-91.256,0,0
NaN,13,4,5,1,1,1.843,0.397,5.965,1,3.69,3.696,2.269,0,0,0,0,0,-91.23,0,0
NaN,12.1,5,4,1,2,1.859,0.4,5.9,1,3.7,3.639,2.261,0,0,0,0,0.1,-91.204,0,0
NaN,13,3,4,1,1,1.86,0.587,5.857,1,3.7,3.612,2.245,0,0,0,0,0,-91.178,0,0
